,Title,Distributor,Runtime,Rating,Action,Adventure,Biography,Comedy,Crime,Documentary,Drama,Family,History,Horror,Music,Mystery,Romance,Sport,Thriller,War,Western,Budget,Domestic_Gross
253,American Wedding,Universal Pictures,96.0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55000000,104354205
254,American Reunion,Universal Pictures,113.0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50000000,56758835
255,Sherlock Holmes,Warner Bros.,128.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,90000000,209028679
256,Sherlock Holmes: A Game of Shadows,Warner Bros.,129.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,125000000,186848418
257,National Treasure,Walt Disney Studios Motion Pictures,131.0,PG,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100000000,173005002
258,The Da Vinci Code,ony Pictures Entertainment (SPE),149.0,PG-13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,125000000,217536138
259,Angels & Demons,ony Pictures Entertainment (SPE),138.0,PG-13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,150000000,133375846
260,Inferno,ony Pictures Entertainment (SPE),121.0,PG-13,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,75000000,34343574
261,Freddy vs. Jason,New Line Cinema,97.0,R,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25000000,82622655
262,Fifty Shades of Grey,Universal Pictures,125.0,R,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,40000000,166167230
263,Fifty Shades Darker,Universal Pictures,118.0,R,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,55000000,114434010
264,Taken,Twentieth Century Fox,90.0,PG-13,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,25000000,145000989
265,Taken 2,Twentieth Century Fox,92.0,PG-13,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,45000000,139854287
266,Taken 3,Twentieth Century Fox,108.0,PG-13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,48000000,89256424
267,A Nightmare on Elm Street,New Line Cinema,91.0,R,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35000000,63075011
268,A Nightmare on Elm Street,New Line Cinema,91.0,R,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,35000000,63075011
269,Pitch Perfect 2,Universal Pictures,115.0,PG-13,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,29000000,184296230
270,Spy Kids,Miramax,88.0,PG,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35000000,112692062
271,Divergent,Lionsgat,139.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,85000000,150947895
272,The Divergent Series: Insurgent,Lionsgat,119.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110000000,130179072
273,Glass,Universal Pictures,129.0,PG-13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,20000000,111048468
274,Unbreakable,Walt Disney Studios Motion Pictures,106.0,PG-13,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,73243106,94999143
275,Fantastic Four,Twentieth Century Fox,100.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87500000,154696080
276,Fantastic Four,Twentieth Century Fox,100.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87500000,154696080
280,Rambo: Last Blood,Lionsgat,89.0,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,50000000,44819352
281,Rambo,Lionsgat,92.0,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,47500000,42754105
283,Scream 3,Dimension Films,116.0,R,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,40000000,89138076
284,Scream 4,,111.0,R,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,40000000,38180928
285,22 Jump Street,ony Pictures Entertainment (SPE),112.0,R,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,50000000,191719337
286,21 Jump Street,ony Pictures Entertainment (SPE),109.0,R,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,42000000,138447667
